Serial No.|Table No.|Sub No.|Main axis, Setting|Hall symbol __________|SF symbol|HM symbol ______________|Full notation ____________|No. of Point group|Point group (HM)|Point group(SF)|No. of Laue Group|Laue Group|No. of Crystal System|Crystal System
1|1|1||P 1|C11|P 1|P 1|1|1|C1|1|-1|1|triclinic
2|2|1||-P 1|Ci1|P -1|P -1|2|-1|Ci|1|-1|1|triclinic
3|3|1|b|P 2y|C21|P 2 = P 1 2 1|P 1 2 1|3|2|C2|2|2/m|2|monoclinic
4|3|2|c|P 2|C21|P 2 = P 1 1 2|P 1 1 2|3|2|C2|2|2/m|2|monoclinic
5|3|3|a|P 2x|C21|P 2 = P 2 1 1|P 2 1 1|3|2|C2|2|2/m|2|monoclinic
6|4|1|b|P 2yb|C22|P 21 = P 1 21 1|P 1 21 1|3|2|C2|2|2/m|2|monoclinic
7|4|2|c|P 2c|C22|P 21 = P 1 1 21|P 1 1 21|3|2|C2|2|2/m|2|monoclinic
8|4|3|a|P 2xa|C22|P 21 = P 21 1 1|P 21 1 1|3|2|C2|2|2/m|2|monoclinic
9|5|1|b1|C 2y|C23|C 2 = C 1 2 1|C 1 2 1|3|2|C2|2|2/m|2|monoclinic
10|5|2|b2|A 2y|C23|C 2 = A 1 2 1|A 1 2 1|3|2|C2|2|2/m|2|monoclinic
11|5|3|b3|I 2y|C23|C 2 = I 1 2 1|I 1 2 1|3|2|C2|2|2/m|2|monoclinic
12|5|4|c1|A 2|C23|C 2 = A 1 1 2|A 1 1 2|3|2|C2|2|2/m|2|monoclinic
13|5|5|c2|B 2|C23|C 2 = B 1 1 2 = B 2|B 1 1 2|3|2|C2|2|2/m|2|monoclinic
14|5|6|c3|I 2|C23|C 2 = I 1 1 2|I 1 1 2|3|2|C2|2|2/m|2|monoclinic
15|5|7|a1|B 2x|C23|C 2 = B 2 1 1|B 2 1 1|3|2|C2|2|2/m|2|monoclinic
16|5|8|a2|C 2x|C23|C 2 = C 2 1 1|C 2 1 1|3|2|C2|2|2/m|2|monoclinic
17|5|9|a3|I 2x|C23|C 2 = I 2 1 1|I 2 1 1|3|2|C2|2|2/m|2|monoclinic
18|6|1|b|P -2y|Cs1|P m = P 1 m 1|P 1 m 1|4|m|Cs|2|2/m|2|monoclinic
19|6|2|c|P -2|Cs1|P m = P 1 1 m|P 1 1 m|4|m|Cs|2|2/m|2|monoclinic
20|6|3|a|P -2x|Cs1|P m = P m 1 1|P m 1 1|4|m|Cs|2|2/m|2|monoclinic
21|7|1|b1|P -2yc|Cs2|P c = P 1 c 1|P 1 c 1|4|m|Cs|2|2/m|2|monoclinic
22|7|2|b2|P -2yac|Cs2|P c = P 1 n 1|P 1 n 1|4|m|Cs|2|2/m|2|monoclinic
