Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
P 2 3|489|||||||
||12|j|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
||6|i|2..|(x,1/2,1/2)|(-x,1/2,1/2)|(1/2,x,1/2)|(1/2,-x,1/2)
|||||(1/2,1/2,x)|(1/2,1/2,-x)||
||6|h|2..|(x,1/2,0)|(-x,1/2,0)|(0,x,1/2)|(0,-x,1/2)
|||||(1/2,0,x)|(1/2,0,-x)||
||6|g|2..|(x,0,1/2)|(-x,0,1/2)|(1/2,x,0)|(1/2,-x,0)
|||||(0,1/2,x)|(0,1/2,-x)||
||6|f|2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)||
||4|e|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
||3|d|222..|(1/2,0,0)|(0,1/2,0)|(0,0,1/2)|
||3|c|222..|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|
||1|b|23|(1/2,1/2,1/2)|||
||1|a|23|(0,0,0)|||
F 2 3|490|||||||
||48|h|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
||24|g|2..|(x,1/4,1/4)|(-x,3/4,1/4)|(1/4,x,1/4)|(1/4,-x,3/4)
|||||(1/4,1/4,x)|(3/4,1/4,-x)||
||24|f|2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)||
||16|e|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
||4|d|23|(3/4,3/4,3/4)|||
||4|c|23|(1/4,1/4,1/4)|||
||4|b|23|(1/2,1/2,1/2)|||
||4|a|23|(0,0,0)|||
I 2 3|491|||||||
||24|f|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
||12|e|2..|(x,1/2,0)|(-x,1/2,0)|(0,x,1/2)|(0,-x,1/2)
|||||(1/2,0,x)|(1/2,0,-x)||
||12|d|2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
|||||(0,0,x)|(0,0,-x)||
||8|c|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
||6|b|222..|(0,1/2,1/2)|(1/2,0,1/2)|(1/2,1/2,0)|
||2|a|23|(0,0,0)|||
P 21 3|492|||||||
||12|b|1|(x,y,z)|(-x+1/2,-y,z+1/2)|(-x,y+1/2,-z+1/2)|(x+1/2,-y+1/2,-z)
|||||(z,x,y)|(z+1/2,-x+1/2,-y)|(-z+1/2,-x,y+1/2)|(-z,x+1/2,-y+1/2)
|||||(y,z,x)|(-y,z+1/2,-x+1/2)|(y+1/2,-z+1/2,-x)|(-y+1/2,-z,x+1/2)
||4|a|.3.|(x,x,x)|(-x+1/2,-x,x+1/2)|(-x,x+1/2,-x+1/2)|(x+1/2,-x+1/2,-x)
I 21 3|493|||||||
||24|c|1|(x,y,z)|(-x+1/2,-y,z+1/2)|(-x,y+1/2,-z+1/2)|(x+1/2,-y+1/2,-z)
|||||(z,x,y)|(z+1/2,-x+1/2,-y)|(-z+1/2,-x,y+1/2)|(-z,x+1/2,-y+1/2)
|||||(y,z,x)|(-y,z+1/2,-x+1/2)|(y+1/2,-z+1/2,-x)|(-y+1/2,-z,x+1/2)
||12|b|2..|(x,0,1/4)|(-x+1/2,0,3/4)|(1/4,x,0)|(3/4,-x+1/2,0)
|||||(0,1/4,x)|(0,3/4,-x+1/2)||
||8|a|.3.|(x,x,x)|(-x+1/2,-x,x+1/2)|(-x,x+1/2,-x+1/2)|(x+1/2,-x+1/2,-x)
P 2/m -3|494|||||||
||24|l|1|(x,y,z)|(-x,-y,z)|(-x,y,-z)|(x,-y,-z)
|||||(z,x,y)|(z,-x,-y)|(-z,-x,y)|(-z,x,-y)
|||||(y,z,x)|(-y,z,-x)|(y,-z,-x)|(-y,-z,x)
|||||(-x,-y,-z)|(x,y,-z)|(x,-y,z)|(-x,y,z)
|||||(-z,-x,-y)|(-z,x,y)|(z,x,-y)|(z,-x,y)
|||||(-y,-z,-x)|(y,-z,x)|(-y,z,x)|(y,z,-x)
||12|k|m..|(1/2,y,z)|(1/2,-y,z)|(1/2,y,-z)|(1/2,-y,-z)
|||||(z,1/2,y)|(z,1/2,-y)|(-z,1/2,y)|(-z,1/2,-y)
|||||(y,z,1/2)|(-y,z,1/2)|(y,-z,1/2)|(-y,-z,1/2)
||12|j|m..|(0,y,z)|(0,-y,z)|(0,y,-z)|(0,-y,-z)
|||||(z,0,y)|(z,0,-y)|(-z,0,y)|(-z,0,-y)
|||||(y,z,0)|(-y,z,0)|(y,-z,0)|(-y,-z,0)
||8|i|.3.|(x,x,x)|(-x,-x,x)|(-x,x,-x)|(x,-x,-x)
|||||(-x,-x,-x)|(x,x,-x)|(x,-x,x)|(-x,x,x)
||6|h|mm2..|(x,1/2,1/2)|(-x,1/2,1/2)|(1/2,x,1/2)|(1/2,-x,1/2)
|||||(1/2,1/2,x)|(1/2,1/2,-x)||
||6|g|mm2..|(x,1/2,0)|(-x,1/2,0)|(0,x,1/2)|(0,-x,1/2)
|||||(1/2,0,x)|(1/2,0,-x)||
||6|f|mm2..|(x,0,1/2)|(-x,0,1/2)|(1/2,x,0)|(1/2,-x,0)
|||||(0,1/2,x)|(0,1/2,-x)||
||6|e|mm2..|(x,0,0)|(-x,0,0)|(0,x,0)|(0,-x,0)
