Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
P 1|1|||||||
||1|a|1|(x,y,z)|||
P -1|2|||||||
||2|i|1|(x,y,z)|(-x,-y,-z)||
||1|h|-1|(1/2,1/2,1/2)|||
||1|g|-1|(0,1/2,1/2)|||
||1|f|-1|(1/2,0,1/2)|||
||1|e|-1|(1/2,1/2,0)|||
||1|d|-1|(1/2,0,0)|||
||1|c|-1|(0,1/2,0)|||
||1|b|-1|(0,0,1/2)|||
||1|a|-1|(0,0,0)|||
P 1 2 1|3|||||||
||2|e|1|(x,y,z)|(-x,y,-z)||
||1|d|2|(1/2,y,1/2)|||
||1|c|2|(1/2,y,0)|||
||1|b|2|(0,y,1/2)|||
||1|a|2|(0,y,0)|||
P 1 1 2|4|||||||
||2|e|1|(x,y,z)|(-x,-y,z)||
||1|d|2|(1/2,1/2,z)|||
||1|c|2|(0,1/2,z)|||
||1|b|2|(1/2,0,z)|||
||1|a|2|(0,0,z)|||
P 2 1 1|5|||||||
||2|e|1|(x,y,z)|(x,-y,-z)||
||1|d|2|(x,1/2,1/2)|||
||1|c|2|(x,0,1/2)|||
||1|b|2|(x,1/2,0)|||
||1|a|2|(x,0,0)|||
P 1 2sub1 1|6|||||||
||2|a|1|(x,y,z)|(-x,y+1/2,-z)||
P 1 1 2sub1|7|||||||
||2|a|1|(x,y,z)|(-x,-y,z+1/2)||
P 2sub1 1 1|8|||||||
||2|a|1|(x,y,z)|(x+1/2,-y,-z)||
C 1 2 1|9|||||||
||4|c|1|(x,y,z)|(-x,y,-z)||
||2|b|2|(0,y,1/2)|||
||2|a|2|(0,y,0)|||
A 1 2 1|10|||||||
||4|c|1|(x,y,z)|(-x,y,-z)||
||2|b|2|(1/2,y,0)|||
||2|a|2|(0,y,0)|||
I 1 2 1|11|||||||
||4|c|1|(x,y,z)|(-x,y,-z)||
||2|b|2|(1/2,y,0)|||
||2|a|2|(0,y,0)|||
A 1 1 2|12|||||||
||4|c|1|(x,y,z)|(-x,-y,z)||
||2|b|2|(1/2,0,z)|||
||2|a|2|(0,0,z)|||
B 1 1 2|13|||||||
||4|c|1|(x,y,z)|(-x,-y,z)||
||2|b|2|(0,1/2,z)|||
||2|a|2|(0,0,z)|||
I 1 1 2|14|||||||
||4|c|1|(x,y,z)|(-x,-y,z)||
||2|b|2|(0,1/2,z)|||
||2|a|2|(0,0,z)|||
B 2 1 1|15|||||||
||4|c|1|(x,y,z)|(x,-y,-z)||
||2|b|2|(x,1/2,0)|||
||2|a|2|(x,0,0)|||
C 2 1 1|16|||||||
||4|c|1|(x,y,z)|(x,-y,-z)||
||2|b|2|(x,0,1/2)|||
||2|a|2|(x,0,0)|||
I 2 1 1|17|||||||
||4|c|1|(x,y,z)|(x,-y,-z)||
||2|b|2|(x,0,1/2)|||
||2|a|2|(x,0,0)|||
P 1 m 1|18|||||||
||2|c|1|(x,y,z)|(x,-y,z)||
||1|b|m|(x,1/2,z)|||
||1|a|m|(x,0,z)|||
P 1 1 m|19|||||||
||2|c|1|(x,y,z)|(x,y,-z)||
||1|b|m|(x,y,1/2)|||
||1|a|m|(x,y,0)|||
P m 1 1|20|||||||
||2|c|1|(x,y,z)|(-x,y,z)||
||1|b|m|(1/2,y,z)|||
||1|a|m|(0,y,z)|||
P 1 c 1|21|||||||
||2|a|1|(x,y,z)|(x,-y,z+1/2)||
P 1 n 1|22|||||||
||2|a|1|(x,y,z)|(x+1/2,-y,z+1/2)||
P 1 a 1|23|||||||
||2|a|1|(x,y,z)|(x+1/2,-y,z)||
P 1 1 a|24|||||||
||2|a|1|(x,y,z)|(x+1/2,y,-z)||
P 1 1 n|25|||||||
||2|a|1|(x,y,z)|(x+1/2,y+1/2,-z)||
P 1 1 b|26|||||||
||2|a|1|(x,y,z)|(-x,y,z+1/2)||
P b 1 1|27|||||||
||2|a|1|(x,y,z)|(-x,y+1/2,z)||
P n 1 1|28|||||||
||2|a|1|(x,y,z)|(-x,y+1/2,z+1/2)||
P c 1 1|29|||||||
||2|a|1|(x,y,z)|(-x,y,z+1/2)||
C 1 m 1|30|||||||
||4|b|1|(x,y,z)|(x,-y,z)||
||2|a|m|(x,0,z)|||
A 1 m 1|31|||||||
||4|b|1|(x,y,z)|(x,-y,z)||
||2|a|m|(x,0,z)|||
I 1 m 1|32|||||||
||4|b|1|(x,y,z)|(x,-y,z)||
||2|a|m|(x,0,z)|||
